 POS                NEG                 POS/NEG              BEST_FIT  
" [1,] ""1.03127774142571"" ""0.445453222112551"" ""2.31512017476245""   ""positive"""
" [2,] ""1.03127774142571"" ""0.445453222112551"" ""2.31512017476245""   ""positive"""
" [3,] ""1.03127774142571"" ""0.445453222112551"" ""2.31512017476245""   ""positive"""
" [4,] ""9.47547003995745"" ""17.8123396772424""  ""0.531961000724885""  ""negative"""
" [5,] ""17.9196623384892"" ""27.5355036756473""  ""0.650783895205722""  ""negative"""
" [6,] ""24.2844130953411"" ""0.445453222112551"" ""54.5161913526473""   ""positive"""
" [7,] ""24.2844130953411"" ""0.445453222112551"" ""54.5161913526473""   ""positive"""
" [8,] ""9.47547003995745"" ""17.8123396772424""  ""0.531961000724885""  ""negative"""
" [9,] ""9.47547003995745"" ""17.8123396772424""  ""0.531961000724885""  ""negative"""
"[10,] ""17.9196623384892"" ""27.5355036756473""  ""0.650783895205722""  ""negative"""
"[11,] ""9.47547003995745"" ""17.8123396772424""  ""0.531961000724885""  ""negative"""
"[12,] ""1.03127774142571"" ""9.47547003995745""  ""0.108836578774127""  ""negative"""
"[13,] ""9.47547003995745"" ""8.78232285939751""  ""1.07892526745566""   ""neutral"" "
"[14,] ""1.03127774142571"" ""17.8123396772424""  ""0.0578968153601572"" ""negative"""
"[15,] ""1.03127774142571"" ""17.8123396772424""  ""0.0578968153601572"" ""negative"""
"[16,] ""1.03127774142571"" ""9.47547003995745""  ""0.108836578774127""  ""negative"""
"[17,] ""17.9196623384892"" ""27.5355036756473""  ""0.650783895205722""  ""negative"""
"[18,] ""1.03127774142571"" ""9.47547003995745""  ""0.108836578774127""  ""negative"""
"[19,] ""1.03127774142571"" ""9.47547003995745""  ""0.108836578774127""  ""negative"""
"[20,] ""17.9196623384892"" ""17.8123396772424""  ""1.00602518608961""   ""neutral"" "
